variant,resolution,seed,case,n_nodes,n_chunks,mesh_L,U_he,div_pred,div_true,div_analytical,helm_pred,helm_true
noleak,4x,1337,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0007971237673359283,4.770556228033033e-09,0.0,nan,nan
noleak,4x,1337,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.002104087680682033,1.311838712818254e-08,0.0,nan,nan
noleak,4x,1337,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.0002312994777379112,1.6372781207616755e-06,0.0,nan,nan
noleak,4x,2026,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.0055899342016741856,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
noleak,4x,2026,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.010036733989914809,1.8958840255480707e-06,0.0,nan,nan
noleak,4x,2026,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.013901364996203022,1.2654479673387065e-06,0.0,nan,nan
noleak,4x,2026,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0009745313762715522,4.770556228033033e-09,0.0,nan,nan
noleak,4x,2026,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.0020802282236901137,1.311838712818254e-08,0.0,nan,nan
noleak,4x,2026,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.0002607485631650109,1.6372781207616755e-06,0.0,nan,nan
withleak,1x,777,wm_028_R16p9_L170p9_a11p3,23120,1,0.0014065658923776761,0.0198831669986248,0.07517000287771225,0.00023449760919902474,0.0,0.024772911169642788,0.0010013014057569968
withleak,1x,777,wm_029_R15p7_L140p1_a07p1,23120,1,0.0013109133537489777,0.01276966743171215,0.13892003893852234,0.00012306416465435177,0.0,0.03057872668685163,0.00018182449506672356
withleak,1x,777,wm_030_R16p8_L186p3_a07p9,23120,1,0.0014039708374346536,0.01066726166754961,0.21369585394859314,0.00013111934822518378,0.0,0.028793232701739176,0.0005218220544174771
withleak,1x,777,wm_031_R09p4_L239p5_a10p9,23120,1,0.0007827705821687758,0.03888924792408943,0.01957003027200699,6.745892733306391e-08,0.0,nan,nan
withleak,1x,777,wm_032_R12p2_L282p2_a06p3,23120,1,0.0010199205610202091,0.029478538781404495,0.13307955861091614,4.0735827155913285e-07,0.0,nan,nan
withleak,1x,777,wm_033_R16p9_L167p1_a02p1,23120,1,0.0014091495568184552,0.4960843026638031,0.005331747233867645,0.0001027116522891447,0.0,0.04255237822730098,9.970049329439686e-05
withleak,1x,1337,wm_028_R16p9_L170p9_a11p3,23120,1,0.0014065658923776761,0.0198831669986248,0.06608396768569946,0.00023449760919902474,0.0,0.019820070048199693,0.0010013014057569968
withleak,1x,1337,wm_029_R15p7_L140p1_a07p1,23120,1,0.0013109133537489777,0.01276966743171215,0.17203229665756226,0.00012306416465435177,0.0,0.04165868527531493,0.00018182449506672356
withleak,1x,1337,wm_030_R16p8_L186p3_a07p9,23120,1,0.0014039708374346536,0.01066726166754961,0.12481221556663513,0.00013111934822518378,0.0,0.02517982942824791,0.0005218220544174771
withleak,1x,1337,wm_031_R09p4_L239p5_a10p9,23120,1,0.0007827705821687758,0.03888924792408943,0.025887925177812576,6.745892733306391e-08,0.0,nan,nan
withleak,1x,1337,wm_032_R12p2_L282p2_a06p3,23120,1,0.0010199205610202091,0.029478538781404495,0.12618859112262726,4.0735827155913285e-07,0.0,nan,nan
withleak,1x,1337,wm_033_R16p9_L167p1_a02p1,23120,1,0.0014091495568184552,0.4960843026638031,0.0034683262929320335,0.0001027116522891447,0.0,0.017994974708660016,9.970049329439686e-05
withleak,1x,2026,wm_028_R16p9_L170p9_a11p3,23120,1,0.0014065658923776761,0.0198831669986248,0.07083995640277863,0.00023449760919902474,0.0,0.026159833705155427,0.0010013014057569968
withleak,1x,2026,wm_029_R15p7_L140p1_a07p1,23120,1,0.0013109133537489777,0.01276966743171215,0.146620973944664,0.00012306416465435177,0.0,0.033639254859258616,0.00018182449506672356
withleak,1x,2026,wm_030_R16p8_L186p3_a07p9,23120,1,0.0014039708374346536,0.01066726166754961,0.13939595222473145,0.00013111934822518378,0.0,0.020569317428657714,0.0005218220544174771
withleak,1x,2026,wm_031_R09p4_L239p5_a10p9,23120,1,0.0007827705821687758,0.03888924792408943,0.024635668843984604,6.745892733306391e-08,0.0,nan,nan
withleak,1x,2026,wm_032_R12p2_L282p2_a06p3,23120,1,0.0010199205610202091,0.029478538781404495,0.08157114684581757,4.0735827155913285e-07,0.0,nan,nan
withleak,1x,2026,wm_033_R16p9_L167p1_a02p1,23120,1,0.0014091495568184552,0.4960843026638031,0.003922136500477791,0.0001027116522891447,0.0,0.02575797958550655,9.970049329439686e-05
withleak,2x,777,wm_028_R16p9_L170p9_a11p3,184480,1,0.0007032820826633127,0.020390992984175682,0.030002769082784653,1.3378687981457915e-05,0.0,nan,nan
withleak,2x,777,wm_029_R15p7_L140p1_a07p1,184480,1,0.0006554561848187633,0.012784822843968868,0.043206360191106796,1.0730667781899683e-05,0.0,nan,nan
withleak,2x,777,wm_030_R16p8_L186p3_a07p9,184480,1,0.0007019844913098327,0.010819370858371258,0.06863944232463837,6.8721069510502275e-06,0.0,nan,nan
withleak,2x,777,wm_031_R09p4_L239p5_a10p9,184480,1,0.0003913846302569458,0.03902824595570564,0.004079347942024469,1.7260020968024037e-08,0.0,nan,nan
withleak,2x,777,wm_032_R12p2_L282p2_a06p3,184480,1,0.0005099590339922747,0.03107747994363308,0.034264516085386276,4.941882636444461e-08,0.0,nan,nan
withleak,2x,777,wm_033_R16p9_L167p1_a02p1,184480,1,0.0007045739679166213,0.5033658742904663,0.0014008802827447653,1.075494583346881e-05,0.0,nan,nan
withleak,2x,1337,wm_028_R16p9_L170p9_a11p3,184480,1,0.0007032820826633127,0.020390992984175682,0.01884077489376068,1.3378687981457915e-05,0.0,nan,nan
withleak,2x,1337,wm_029_R15p7_L140p1_a07p1,184480,1,0.0006554561848187633,0.012784822843968868,0.052311256527900696,1.0730667781899683e-05,0.0,nan,nan
withleak,2x,1337,wm_030_R16p8_L186p3_a07p9,184480,1,0.0007019844913098327,0.010819370858371258,0.03934234753251076,6.8721069510502275e-06,0.0,nan,nan
withleak,2x,1337,wm_031_R09p4_L239p5_a10p9,184480,1,0.0003913846302569458,0.03902824595570564,0.00625937944278121,1.7260020968024037e-08,0.0,nan,nan
withleak,2x,1337,wm_032_R12p2_L282p2_a06p3,184480,1,0.0005099590339922747,0.03107747994363308,0.028715992346405983,4.941882636444461e-08,0.0,nan,nan
withleak,2x,1337,wm_033_R16p9_L167p1_a02p1,184480,1,0.0007045739679166213,0.5033658742904663,0.0010189296444877982,1.075494583346881e-05,0.0,nan,nan
withleak,2x,2026,wm_028_R16p9_L170p9_a11p3,184480,1,0.0007032820826633127,0.020390992984175682,0.021303091198205948,1.3378687981457915e-05,0.0,nan,nan
withleak,2x,2026,wm_029_R15p7_L140p1_a07p1,184480,1,0.0006554561848187633,0.012784822843968868,0.04787590727210045,1.0730667781899683e-05,0.0,nan,nan
withleak,2x,2026,wm_030_R16p8_L186p3_a07p9,184480,1,0.0007019844913098327,0.010819370858371258,0.03922450542449951,6.8721069510502275e-06,0.0,nan,nan
withleak,2x,2026,wm_031_R09p4_L239p5_a10p9,184480,1,0.0003913846302569458,0.03902824595570564,0.005668948870152235,1.7260020968024037e-08,0.0,nan,nan
withleak,2x,2026,wm_032_R12p2_L282p2_a06p3,184480,1,0.0005099590339922747,0.03107747994363308,0.01680666022002697,4.941882636444461e-08,0.0,nan,nan
withleak,2x,2026,wm_033_R16p9_L167p1_a02p1,184480,1,0.0007045739679166213,0.5033658742904663,0.0011493072379380465,1.075494583346881e-05,0.0,nan,nan
withleak,4x,777,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.006714434834036612,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
withleak,4x,777,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.013527882012664288,1.8958840255480707e-06,0.0,nan,nan
withleak,4x,777,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.015500571916951702,1.2654479673387065e-06,0.0,nan,nan
withleak,4x,777,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0007094267974467319,4.770556228033033e-09,0.0,nan,nan
withleak,4x,777,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.006829022924084965,1.311838712818254e-08,0.0,nan,nan
withleak,4x,777,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.00029188204781860035,1.6372781207616755e-06,0.0,nan,nan
withleak,4x,1337,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.004035324214069462,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
withleak,4x,1337,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.012529715013403653,1.8958840255480707e-06,0.0,nan,nan
withleak,4x,1337,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.008709688646602883,1.2654479673387065e-06,0.0,nan,nan
withleak,4x,1337,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0010331063907322222,4.770556228033033e-09,0.0,nan,nan
withleak,4x,1337,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.005269946804379109,1.311838712818254e-08,0.0,nan,nan
withleak,4x,1337,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.00021174786736281054,1.6372781207616755e-06,0.0,nan,nan
withleak,4x,2026,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.005089757629085572,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
withleak,4x,2026,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.013301123461114239,1.8958840255480707e-06,0.0,nan,nan
withleak,4x,2026,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.009789955774154997,1.2654479673387065e-06,0.0,nan,nan
withleak,4x,2026,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0010949394590567625,4.770556228033033e-09,0.0,nan,nan
withleak,4x,2026,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.00330306216623488,1.311838712818254e-08,0.0,nan,nan
withleak,4x,2026,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.0002368160024417364,1.6372781207616755e-06,0.0,nan,nan
