variant,seed,split,case,pp_dir_5deg,pp_dir_10deg,pp_dir_15deg,pp_dir_30deg,pp_peak_0.10,pp_peak_0.20,pp_peak_0.50,cos_signed_median,cos_signed_mean,frac_flipped,angle_median_deg,angle_mean_deg,angle_p90_deg,mag_ratio_median,mag_ratio_mean,peak_mag_true,peak_mag_pred,peak_mag_rel,t_phase,omega,phase_norm,Q_sign,alpha_womersley,R_mm,L_mm,p_amp,wall_frac
sage_noleak,1337,val,0005_H_AO_SVD_3D_RIGID,0.09225883847293768,0.27186507656481546,0.44791475548655707,0.7219673982076071,0.06312892526991744,0.2782584150730365,0.7845882435960765,0.9593674540519714,0.7199902534484863,0.11396514007480064,16.389142990112305,33.253047943115234,97.5721206665039,1.155142903327942,1.1573870182037354,0.30377253890037537,0.5168797969818115,0.7015356421470642,nan,nan,nan,nan,nan,nan,nan,nan,0.10889029395326781
sage_noleak,1337,val,0234_H_AO_COA_3D_FSI_REST,0.013797251485437248,0.0780082382531987,0.2227426821711078,0.6529180184449386,0.0002369409105821456,0.023748769729887362,0.36789632923850835,0.9194102883338928,0.8300699591636658,0.031567819779098165,23.159976959228516,29.06754493713379,51.42462158203125,1.807018756866455,1.9390937089920044,0.5714100003242493,0.9547528028488159,0.6708717346191406,nan,nan,nan,nan,nan,nan,nan,nan,0.13712002741234067
sage_noleak,1337,val,0241_H_AO_COA_3D_FSI_REST,0.009711941916929895,0.033928936243772884,0.07250954693319504,0.3568745776562475,0.008910470982037622,0.07868558766677668,0.7033614633916364,0.7937190532684326,0.6950504183769226,0.03672622695771062,37.4655647277832,41.884883880615234,75.03463745117188,0.9330872893333435,0.9316622018814087,0.8250396251678467,0.5829416513442993,-0.29343798756599426,nan,nan,nan,nan,nan,nan,nan,nan,0.1273058149439124
sage_noleak,2026,test,0007_H_AO_H_3D_RIGID,0.0024337190436286484,0.015306577281723037,0.049405388057838714,0.17897195428530677,0.004662399486512026,0.05243639346016011,0.28024319360992744,-0.4218822121620178,-0.18567582964897156,0.6770285449391125,114.95347595214844,101.91617584228516,160.4115753173828,0.37706395983695984,0.4011535942554474,0.7820733189582825,0.4058787524700165,-0.4810221195220947,nan,nan,nan,nan,nan,nan,nan,nan,0.1507342191032471
sage_noleak,2026,test,0017_H_AO_COA_3D_RIGID,0.0738123211867371,0.31070233813756176,0.3942367196118351,0.5438075677808769,0.08910393815191167,0.32453205858348505,0.651485663548552,0.8848544359207153,0.5481550097465515,0.2160378119983139,27.766386032104492,46.59553146362305,135.45286560058594,0.6750514507293701,0.6872022151947021,0.49127718806266785,0.41907843947410583,-0.14696133136749268,nan,nan,nan,nan,nan,nan,nan,nan,0.14574200167894785
sage_noleak,2026,test,0020_H_AO_COA_3D_RIGID,0.021581060758747925,0.06826250755802235,0.13730019689617215,0.4704423187237407,0.010278910404489854,0.1874234507992124,0.6890280770840762,0.848663866519928,0.5219208002090454,0.22212058727771664,31.933359146118164,51.29863739013672,121.61090850830078,0.3238976001739502,0.3771460950374603,1.274560570716858,0.4114793837070465,-0.67715984582901,nan,nan,nan,nan,nan,nan,nan,nan,0.19699600625108526
sage_noleak,2026,test,0225_H_AO_COA_3D_FSI_REST,0.050955943474646714,0.20509836519811583,0.41507342754225546,0.6785259074535882,0.0,0.844195067885841,0.999778331947908,0.9507769346237183,0.7240990400314331,0.11208090883901357,18.05177116394043,34.08799743652344,101.66192626953125,0.3505670428276062,0.33810627460479736,3.9394547939300537,0.42060551047325134,-0.8932325839996338,nan,nan,nan,nan,nan,nan,nan,nan,0.15367222871836364
sage_noleak,2026,test,0226_H_AO_COA_3D_FSI_REST,0.0018585807960573028,0.010932214008269641,0.04719542246167982,0.39378941653092764,0.5017019588188615,0.9646451990143257,0.9998642609530969,0.7999101281166077,0.5951955914497375,0.10976068161884475,36.87847900390625,48.3507080078125,94.68756103515625,0.4816223084926605,0.46807053685188293,3.4691216945648193,0.40179523825645447,-0.8841795921325684,nan,nan,nan,nan,nan,nan,nan,nan,0.11705300087708308
sage_noleak,2026,val,0002_H_AO_SVD_3D_RIGID,0.22395062772118188,0.4815769821476378,0.5736427554916796,0.6478420763410407,0.2918938721449606,0.5331332516098125,0.6637218018627327,0.9831048250198364,0.6110248565673828,0.20831043665722618,10.54708194732666,38.56651306152344,108.2006607055664,0.7735917568206787,0.683395504951477,0.5705063343048096,0.4007471203804016,-0.29755887389183044,nan,nan,nan,nan,nan,nan,nan,nan,0.060089332262473406
sage_noleak,2026,val,0005_H_AO_SVD_3D_RIGID,0.026321360525015877,0.0852021734528262,0.1711523533977842,0.5407240138310634,0.05000352833251005,0.19180015524663044,0.6372309646461083,0.8799498081207275,0.6774448156356812,0.10373297579563898,28.36368751525879,40.55074691772461,93.0165786743164,1.0804345607757568,1.1238634586334229,0.30377253890037537,0.3659341037273407,0.20463193953037262,nan,nan,nan,nan,nan,nan,nan,nan,0.10889029395326781
sage_noleak,2026,val,0234_H_AO_COA_3D_FSI_REST,0.024660080924434075,0.12689097072868444,0.24638209455764953,0.6127656472132104,0.03688987715525097,0.2386906280756753,0.9157948456238837,0.9075149297714233,0.8152955770492554,0.044307950278861225,24.835838317871094,29.761337280273438,44.36866760253906,1.1883163452148438,1.1603797674179077,0.5714100003242493,0.4347160756587982,-0.23922213912010193,nan,nan,nan,nan,nan,nan,nan,nan,0.13712002741234067
sage_noleak,2026,val,0241_H_AO_COA_3D_FSI_REST,0.006930366319362595,0.03341033740354847,0.08120000628604655,0.3759684440463282,0.007778982603366178,0.075746860905505,0.7256140681721748,0.8017091155052185,0.694891631603241,0.0480568258607955,36.70637893676758,41.65083312988281,76.75654602050781,0.7804080843925476,0.7612944841384888,0.8250396251678467,0.4501117765903473,-0.45443618297576904,nan,nan,nan,nan,nan,nan,nan,nan,0.1273058149439124
sage_noleak,777,test,0007_H_AO_H_3D_RIGID,0.018622853780733504,0.07312746269188938,0.12713284718383938,0.25696685506445344,0.01930037263537005,0.09881969083744896,0.38094389074116997,0.33333760499954224,0.2512054741382599,0.3932194626205716,70.52851867675781,70.65901947021484,133.4716339111328,0.575042188167572,0.7034109830856323,0.7820733189582825,1.6703988313674927,1.1358596086502075,nan,nan,nan,nan,nan,nan,nan,nan,0.1507342191032471
