variant,seed,split,case,n_nodes,n_moving,angle_median,angle_mean,angle_p90,spearman_true_mag_radius,spearman_pred_mag_radius,mag_ratio_median,mag_ratio_p90,div_true_median,div_true_mean,div_pred_median,div_pred_mean,umean,wall_frac,mesh_L
sage_withleak,2026,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,2.9915318489074707,3.8128855228424072,7.736697196960449,0.15934695019307002,0.2827546409979179,1.285609245300293,2.851989984512329,0.0006325866561383009,0.005831016693264246,0.0015180273912847042,0.0072633810341358185,0.303988516330719,0.11705300087708308,0.0003231259117046775
sage_withleak,777,test,0007_H_AO_H_3D_RIGID,560868,381060,3.323692798614502,3.7813003063201904,6.787450790405273,0.4529117736650832,0.4686134855771177,1.1249545812606812,1.8444442749023438,0.0007353163091465831,0.0014457572251558304,0.0003290839958935976,0.0010926517425104976,0.3152245581150055,0.1507342191032471,0.00018888486302164463
sage_withleak,777,test,0017_H_AO_COA_3D_RIGID,557492,380993,2.660651206970215,3.264000177383423,5.75757360458374,0.5379569657496619,0.5134418186887152,1.505170226097107,2.703514814376831,0.0006798940594308078,0.001321860821917653,0.0003357096284162253,0.0012944312766194344,0.21421021223068237,0.14574200167894785,0.0001833600373472542
sage_withleak,777,test,0020_H_AO_COA_3D_RIGID,322504,207177,3.1976962089538574,3.6601650714874268,6.357575416564941,0.35717064087089784,0.5124478136039049,1.7908267974853516,2.8852503299713135,0.0008495232323184609,0.00189350510481745,0.000780150294303894,0.0021975343115627766,0.41089072823524475,0.19699600625108526,0.0002076576179970371
sage_withleak,777,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,2.390073299407959,2.858419179916382,5.8951873779296875,0.5955005199491256,0.5926118251086783,1.1368167400360107,2.387712240219116,6.041183269189787e-07,0.00015491734666284174,4.807337177226145e-07,0.00016365987539757043,0.6181572079658508,0.15367222871836364,0.00013044805783162767
sage_withleak,777,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,2.841967821121216,3.1429293155670166,5.538490295410156,0.15934695019307002,0.3182331156123973,1.4904043674468994,3.276008129119873,0.0006325866561383009,0.005831016693264246,0.0016652303747832775,0.007940180599689484,0.303988516330719,0.11705300087708308,0.0003231259117046775
withleak,1337,test,0007_H_AO_H_3D_RIGID,560868,381060,4.465653896331787,5.373950481414795,11.315747261047363,0.4529117736650832,0.4855830208586233,1.0624415874481201,1.744127869606018,0.0007353163091465831,0.0014457572251558304,0.0003804290317930281,0.0011260873870924115,0.3152245581150055,0.1507342191032471,0.00018888486302164463
withleak,1337,test,0017_H_AO_COA_3D_RIGID,557492,380993,2.7333738803863525,3.9249894618988037,9.797927856445312,0.5379569657496619,0.3073041704116583,1.4667696952819824,2.5879318714141846,0.0006798940594308078,0.001321860821917653,0.00037857878487557173,0.0014118950348347425,0.21421021223068237,0.14574200167894785,0.0001833600373472542
withleak,1337,test,0020_H_AO_COA_3D_RIGID,322504,207177,4.633457183837891,5.248935699462891,9.833128929138184,0.35717064087089784,0.5864453417567121,1.3933796882629395,2.2069156169891357,0.0008495232323184609,0.00189350510481745,0.0006785841542296112,0.001924128271639347,0.41089072823524475,0.19699600625108526,0.0002076576179970371
withleak,1337,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,4.515705108642578,5.318098068237305,9.600943565368652,0.5955005199491256,0.42587792566325255,0.9050406217575073,1.9420486688613892,6.041183269189787e-07,0.00015491734666284174,3.967189741160837e-07,0.00018713176541496068,0.6181572079658508,0.15367222871836364,0.00013044805783162767
withleak,1337,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,3.2874462604522705,4.307200908660889,9.327347755432129,0.15934695019307002,0.3572639495862805,1.4253283739089966,3.1072585582733154,0.0006325866561383009,0.005831016693264246,0.0016942296642810106,0.007963680662214756,0.303988516330719,0.11705300087708308,0.0003231259117046775
withleak,2026,test,0007_H_AO_H_3D_RIGID,560868,381060,4.3806328773498535,5.769957065582275,13.491304397583008,0.4529117736650832,0.39906600243596724,1.115431308746338,1.839463472366333,0.0007353163091465831,0.0014457572251558304,0.0003773079952225089,0.0011593978852033615,0.3152245581150055,0.1507342191032471,0.00018888486302164463
withleak,2026,test,0017_H_AO_COA_3D_RIGID,557492,380993,3.062732219696045,4.894315719604492,12.679906845092773,0.5379569657496619,0.1850729329935733,1.5716779232025146,2.780987024307251,0.0006798940594308078,0.001321860821917653,0.0003735151549335569,0.0015237814513966441,0.21421021223068237,0.14574200167894785,0.0001833600373472542
withleak,2026,test,0020_H_AO_COA_3D_RIGID,322504,207177,3.225250482559204,4.353961944580078,9.286683082580566,0.35717064087089784,0.4005568446987944,1.5055088996887207,2.4298229217529297,0.0008495232323184609,0.00189350510481745,0.0007101297960616648,0.002094669034704566,0.41089072823524475,0.19699600625108526,0.0002076576179970371
withleak,2026,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,2.7208847999572754,3.9997713565826416,8.689233779907227,0.5955005199491256,0.3084102556706358,0.8547692894935608,1.906821370124817,6.041183269189787e-07,0.00015491734666284174,3.514287811867689e-07,0.00014915560313966125,0.6181572079658508,0.15367222871836364,0.00013044805783162767
withleak,2026,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,4.493136405944824,5.7936787605285645,11.195225715637207,0.15934695019307002,0.21282648070023497,1.456276774406433,3.284632682800293,0.0006325866561383009,0.005831016693264246,0.0018528347136452794,0.008494597859680653,0.303988516330719,0.11705300087708308,0.0003231259117046775
withleak,777,test,0007_H_AO_H_3D_RIGID,560868,381060,3.757599353790283,4.034523010253906,6.535520553588867,0.4529117736650832,0.4523511918178393,1.1578826904296875,1.870090365409851,0.0007353163091465831,0.0014457572251558304,0.0004292949743103236,0.0012862632283940911,0.3152245581150055,0.1507342191032471,0.00018888486302164463
withleak,777,test,0017_H_AO_COA_3D_RIGID,557492,380993,3.402487277984619,4.047589302062988,7.005349159240723,0.5379569657496619,0.33296793362504307,1.594787359237671,2.780247688293457,0.0006798940594308078,0.001321860821917653,0.0004490953288041055,0.0015846460592001677,0.21421021223068237,0.14574200167894785,0.0001833600373472542
withleak,777,test,0020_H_AO_COA_3D_RIGID,322504,207177,4.0772705078125,4.485594272613525,7.979393005371094,0.35717064087089784,0.5183201319803947,1.6124687194824219,2.543384075164795,0.0008495232323184609,0.00189350510481745,0.0007860429468564689,0.0021545798517763615,0.41089072823524475,0.19699600625108526,0.0002076576179970371
withleak,777,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,2.936649799346924,3.315272092819214,5.524801254272461,0.5955005199491256,0.29272873543465844,1.014705777168274,2.2031137943267822,6.041183269189787e-07,0.00015491734666284174,4.85346618006588e-07,0.00018192370771430433,0.6181572079658508,0.15367222871836364,0.00013044805783162767
withleak,777,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,3.180107831954956,3.728829860687256,6.647177696228027,0.15934695019307002,0.1558867167902217,1.4608101844787598,3.231071949005127,0.0006325866561383009,0.005831016693264246,0.001888534752652049,0.008736756630241871,0.303988516330719,0.11705300087708308,0.0003231259117046775
womersley_leak_dir_only,1337,test,wm_028_R16p9_L170p9_a11p3,23120,15440,8.031745910644531,10.475913047790527,21.115062713623047,-0.870787730135219,0.7845911978390547,4.463706970214844,5.387334823608398,4.395505470711214e-08,0.0003816459502559155,0.07277477532625198,0.08588705956935883,0.01597409136593342,0.08304498269896193,0.0014065658923776761
womersley_leak_dir_only,1337,test,wm_029_R15p7_L140p1_a07p1,23120,15440,13.892812728881836,15.308456420898438,26.98375129699707,0.5854719285679201,0.5745456903333626,3.1317825317382812,3.846078872680664,3.189930453117995e-08,0.00012145018990850076,0.13594582676887512,0.1419069617986679,0.01206557359546423,0.08304498269896193,0.0013109133537489777
womersley_leak_dir_only,1337,test,wm_030_R16p8_L186p3_a07p9,23120,15360,14.134635925292969,14.290183067321777,17.24765968322754,-0.8483353427249883,0.8923816636055599,4.4583001136779785,6.7632832527160645,2.5005443049508358e-08,0.00015086580242495984,0.11479254812002182,0.12504789233207703,0.009621471166610718,0.08304498269896193,0.0014039708374346536
womersley_leak_dir_only,1337,test,wm_031_R09p4_L239p5_a10p9,23120,15440,24.089492797851562,22.769128799438477,29.816116333007812,-0.8717912970903053,-0.3385996724052502,1.2941529750823975,1.3824349641799927,7.680373670382323e-09,2.7680941983021512e-08,0.016987428069114685,0.02110048569738865,0.03740987554192543,0.08304498269896193,0.0007827705821687758
womersley_leak_dir_only,1337,test,wm_032_R12p2_L282p2_a06p3,23120,16720,11.135994911193848,18.85517692565918,29.325258255004883,-0.8293937380561539,0.19690851610968285,2.7303647994995117,6.538712024688721,1.9124048833418783e-07,8.080358497863926e-07,0.07673431932926178,0.1414559781551361,0.017801418900489807,0.08304498269896193,0.0010199205610202091
