variant,seed,split,case_id,n_nodes,peak_loc_mm,pred_world_x,pred_world_y,pred_world_z,true_world_x,true_world_y,true_world_z,pred_bbox_x,pred_bbox_y,pred_bbox_z,true_bbox_x,true_bbox_y,true_bbox_z,pred_pca_norm,true_pca_norm,aorta_length_mm
noleak,777,test,0017_H_AO_COA_3D_RIGID,557492,20.777616500854492,0.012583263218402863,0.006737430114299059,0.048778656870126724,0.011491436511278152,-0.004452886991202831,0.03130599111318588,0.458103746175766,0.37603774666786194,0.7139983177185059,0.4484070837497711,0.18182328343391418,0.6463367938995361,0.2911779284477234,0.36392033100128174,258.7390441894531
noleak,777,test,0020_H_AO_COA_3D_RIGID,322504,39.18164825439453,0.01567758433520794,0.0045400019735097885,0.06786837428808212,-0.002353827003389597,-0.021989155560731888,0.09036889672279358,0.5097540020942688,0.7389841675758362,0.5441923141479492,0.33883151412010193,0.23230741918087006,0.6676641702651978,0.5636845827102661,0.6421206593513489,185.21702575683594
noleak,777,test,0225_H_AO_COA_3D_FSI_REST,180449,87.92213439941406,-0.007516562473028898,-0.005329655949026346,-0.06441667675971985,0.0032901628874242306,-0.02952641434967518,0.0194166898727417,0.2849811613559723,0.8794304132461548,0.25127339363098145,0.41640421748161316,0.5265591144561768,0.7028605937957764,0.7639360427856445,0.291360467672348,185.0791473388672
noleak,777,test,0226_H_AO_COA_3D_FSI_REST,478860,22.88080406188965,0.011374125257134438,-0.014974095858633518,0.13440994918346405,0.008452586829662323,-0.035819586366415024,0.12543992698192596,0.6809204816818237,0.5532290935516357,0.8642034530639648,0.6265400648117065,0.33314213156700134,0.8296464085578918,0.14091825485229492,0.15641948580741882,260.1051025390625
noleak,777,val,0002_H_AO_SVD_3D_RIGID,354855,51.30535888671875,-0.0022703190334141254,-0.014000684022903442,0.11272447556257248,0.020775623619556427,0.0006489999359473586,0.1561584621667862,0.4603048264980316,0.49064117670059204,0.5765723586082458,0.741871178150177,0.8015081882476807,0.8134366273880005,0.5770343542098999,0.8339390754699707,186.31173706054688
noleak,777,val,0005_H_AO_SVD_3D_RIGID,354274,111.53487396240234,-0.01818118989467621,0.017925698310136795,0.08203267306089401,-0.020898595452308655,-0.010561738163232803,-0.025768570601940155,0.28936445713043213,0.492493212223053,0.6239908337593079,0.25531497597694397,0.20074094831943512,0.16709274053573608,0.38729268312454224,0.853865385055542,237.56398010253906
noleak,777,val,0234_H_AO_COA_3D_FSI_REST,274329,85.76343536376953,0.048085007816553116,-0.02132251113653183,0.07127118855714798,0.0539039708673954,0.041949763894081116,0.12887436151504517,0.6031926870346069,0.01854715310037136,0.4320884644985199,0.7356545329093933,0.6454179883003235,0.7485889196395874,0.3910582959651947,0.3515124022960663,184.22119140625
noleak,777,val,0241_H_AO_COA_3D_FSI_REST,318163,69.23297882080078,-0.025963688269257545,-0.04115353152155876,0.08923814445734024,0.009715110994875431,0.012377037666738033,0.11482537537813187,0.1663445681333542,0.010032485239207745,0.5667378902435303,0.7292318344116211,0.6536896228790283,0.7190587520599365,0.6828810572624207,0.6516221165657043,174.79600524902344
withleak,1337,test,0007_H_AO_H_3D_RIGID,560868,69.17314147949219,0.01609816774725914,0.021416909992694855,0.12299352884292603,0.0009825309971347451,0.02222740463912487,0.055496979504823685,0.5661152005195618,0.8458696603775024,0.817692220211029,0.43710166215896606,0.8590094447135925,0.5715276002883911,0.8161427974700928,0.571070671081543,278.0772705078125
withleak,1337,test,0017_H_AO_COA_3D_RIGID,557492,56.43459701538086,0.016169531270861626,0.028541285544633865,0.07685117423534393,0.011491436511278152,-0.004452886991202831,0.03130599111318588,0.489953875541687,0.7544564008712769,0.822706937789917,0.4484070837497711,0.18182328343391418,0.6463367938995361,0.17225413024425507,0.36392033100128174,258.7390441894531
withleak,1337,test,0020_H_AO_COA_3D_RIGID,322504,69.48303985595703,0.02553902193903923,0.009934819303452969,0.1454210728406906,-0.002353827003389597,-0.021989155560731888,0.09036889672279358,0.6032320261001587,0.8420190811157227,0.969763457775116,0.33883151412010193,0.23230741918087006,0.6676641702651978,0.9833161234855652,0.6421206593513489,185.21702575683594
withleak,1337,test,0225_H_AO_COA_3D_FSI_REST,180449,11.799447059631348,-0.004691502079367638,-0.0312176663428545,0.010892626829445362,0.0032901628874242306,-0.02952641434967518,0.0194166898727417,0.3193373680114746,0.5018948912620544,0.6569439172744751,0.41640421748161316,0.5265591144561768,0.7028605937957764,0.3380088210105896,0.291360467672348,185.0791473388672
withleak,1337,test,0226_H_AO_COA_3D_FSI_REST,478860,25.03057289123535,0.01672694832086563,-0.015673169866204262,0.11310353875160217,0.008452586829662323,-0.035819586366415024,0.12543992698192596,0.7805560231208801,0.5458483099937439,0.7821205258369446,0.6265400648117065,0.33314213156700134,0.8296464085578918,0.2192978858947754,0.15641948580741882,260.1051025390625
withleak,1337,val,0002_H_AO_SVD_3D_RIGID,354855,31.81351661682129,0.0014043060364201665,-0.0011646730126813054,0.13098779320716858,0.020775623619556427,0.0006489999359473586,0.1561584621667862,0.5051999688148499,0.7630218863487244,0.6761701107025146,0.741871178150177,0.8015081882476807,0.8134366273880005,0.6915857195854187,0.8339390754699707,186.31173706054688
withleak,1337,val,0005_H_AO_SVD_3D_RIGID,354274,172.34298706054688,1.1355999959050678e-05,0.03176821395754814,0.13998138904571533,-0.020898595452308655,-0.010561738163232803,-0.025768570601940155,0.5173195004463196,0.6342604756355286,0.8695970773696899,0.25531497597694397,0.20074094831943512,0.16709274053573608,0.12861131131649017,0.853865385055542,237.56398010253906
withleak,1337,val,0234_H_AO_COA_3D_FSI_REST,274329,28.10753631591797,0.0574236623942852,0.020689208060503006,0.14691969752311707,0.0539039708673954,0.041949763894081116,0.12887436151504517,0.8157761693000793,0.43477877974510193,0.8477389216423035,0.7356545329093933,0.6454179883003235,0.7485889196395874,0.20271378755569458,0.3515124022960663,184.22119140625
withleak,1337,val,0241_H_AO_COA_3D_FSI_REST,318163,26.353473663330078,0.006367581896483898,0.02267497032880783,0.09079930186271667,0.009715110994875431,0.012377037666738033,0.11482537537813187,0.6764194965362549,0.7775130271911621,0.5760314464569092,0.7292318344116211,0.6536896228790283,0.7190587520599365,0.5057830810546875,0.6516221165657043,174.79600524902344
withleak,2026,test,0007_H_AO_H_3D_RIGID,560868,99.903564453125,0.05961181968450546,0.012890558689832687,0.13584715127944946,0.0009825309971347451,0.02222740463912487,0.055496979504823685,0.937508761882782,0.7076404094696045,0.8645702600479126,0.43710166215896606,0.8590094447135925,0.5715276002883911,0.8808340430259705,0.571070671081543,278.0772705078125
withleak,2026,test,0017_H_AO_COA_3D_RIGID,557492,84.55970001220703,0.05859782546758652,0.021896569058299065,0.09639851748943329,0.011491436511278152,-0.004452886991202831,0.03130599111318588,0.8667653799057007,0.6391334533691406,0.8984025120735168,0.4484070837497711,0.18182328343391418,0.6463367938995361,0.09900211542844772,0.36392033100128174,258.7390441894531
withleak,2026,test,0020_H_AO_COA_3D_RIGID,322504,30.87210464477539,0.011115563102066517,0.005496641620993614,0.09439299255609512,-0.002353827003389597,-0.021989155560731888,0.09036889672279358,0.4665098786354065,0.7572548985481262,0.6897463798522949,0.33883151412010193,0.23230741918087006,0.6676641702651978,0.7010827660560608,0.6421206593513489,185.21702575683594
withleak,2026,test,0225_H_AO_COA_3D_FSI_REST,180449,8.91152572631836,0.0012824558652937412,-0.03351592645049095,0.0117051275447011,0.0032901628874242306,-0.02952641434967518,0.0194166898727417,0.391988068819046,0.4683783948421478,0.6613206267356873,0.41640421748161316,0.5265591144561768,0.7028605937957764,0.32892298698425293,0.291360467672348,185.0791473388672
